Title,Rank,Anime_Urls
Perfect Blue,"
103
",https://myanimelist.net/anime/437/Perfect_Blue
Shingeki no Kyojin,"
104
",https://myanimelist.net/anime/16498/Shingeki_no_Kyojin
Steins;Gate 0,"
105
",https://myanimelist.net/anime/30484/Steins_Gate_0
Uchuu Kyoudai,"
106
",https://myanimelist.net/anime/12431/Uchuu_Kyoudai
Vivy: Fluorite Eye's Song,"
107
",https://myanimelist.net/anime/46095/Vivy__Fluorite_Eyes_Song
Rainbow: Nisha Rokubou no Shichinin,"
108
",https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin
Samurai Champloo,"
109
",https://myanimelist.net/anime/205/Samurai_Champloo
Fumetsu no Anata e,"
110
",https://myanimelist.net/anime/41025/Fumetsu_no_Anata_e
Hotaru no Haka,"
111
",https://myanimelist.net/anime/578/Hotaru_no_Haka
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,"
112
",https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai
Chihayafuru 3,"
113
",https://myanimelist.net/anime/37379/Chihayafuru_3
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,"
114
",https://myanimelist.net/anime/38040/Kono_Subarashii_Sekai_ni_Shukufuku_wo_Movie__Kurenai_Densetsu
Mo Dao Zu Shi,"
115
",https://myanimelist.net/anime/37208/Mo_Dao_Zu_Shi
Nana,"
116
",https://myanimelist.net/anime/877/Nana
Shingeki no Kyojin Season 2,"
117
",https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2
Saenai Heroine no Sodatekata Fine,"
118
",https://myanimelist.net/anime/36885/Saenai_Heroine_no_Sodatekata_Fine
Zoku Owarimonogatari,"
119
",https://myanimelist.net/anime/36999/Zoku_Owarimonogatari
Holo no Graffiti,"
120
",https://myanimelist.net/anime/44042/Holo_no_Graffiti
Mob Psycho 100,"
121
",https://myanimelist.net/anime/32182/Mob_Psycho_100
Haikyuu!!,"
122
",https://myanimelist.net/anime/20583/Haikyuu
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"
123
",https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_Déjà_vu
Nichijou,"
124
",https://myanimelist.net/anime/10165/Nichijou
Owarimonogatari,"
125
",https://myanimelist.net/anime/31181/Owarimonogatari
Mushishi Zoku Shou: Odoro no Michi,"
126
",https://myanimelist.net/anime/24687/Mushishi_Zoku_Shou__Odoro_no_Michi
Yuu☆Yuu☆Hakusho,"
127
",https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho
Golden Kamuy 3rd Season,"
128
",https://myanimelist.net/anime/40059/Golden_Kamuy_3rd_Season
Kingdom 3rd Season,"
129
",https://myanimelist.net/anime/40682/Kingdom_3rd_Season
Kobayashi-san Chi no Maid Dragon S,"
130
",https://myanimelist.net/anime/39247/Kobayashi-san_Chi_no_Maid_Dragon_S
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"
131
",https://myanimelist.net/anime/11981/Mahou_Shoujo_Madoka★Magica_Movie_3__Hangyaku_no_Monogatari
Mo Dao Zu Shi: Xian Yun Pian,"
132
",https://myanimelist.net/anime/38450/Mo_Dao_Zu_Shi__Xian_Yun_Pian
Gintama: Yorinuki Gintama-san on Theater 2D,"
133
",https://myanimelist.net/anime/21899/Gintama__Yorinuki_Gintama-san_on_Theater_2D
